,(AO)Percentage SLAs Met,Ageing,Average Resolution Effort - Incidents,Average Resolution Effort - Problems,Backlog Processing Efficiency - Incidents,Backlog Processing Efficiency - Problems,Delivered Defects,clusters,scores,anomaly,warning
0,100,1,6.89,8,1.14,2.24,0,0,0.214118606,0,No issues detected
1,76.92,67,16.26,20,2.3,0.33,0,0,0.00591771,0,No issues detected
2,100,0,3.32,14.06,1,1.07,0,0,0.232815811,0,No issues detected
3,100,0,3.3,26.45,1,1,0,0,0.231504008,0,No issues detected
4,100,6,7.05,7.5,0.92,1,0,0,0.222327521,0,No issues detected
5,99.9,36,6.13,4.54,1.14,-1.47,0,0,0.117021524,0,No issues detected
6,100,13,7.99,8.15,0.94,1.08,0,0,0.21082821,0,No issues detected
7,100,0,28.68,25,0.76,1,0,0,0.191015309,0,No issues detected
8,100,0,3,1,1,1,0,0,0.234372314,0,No issues detected
9,100,0,4.57,1,1,1,0,0,0.234694494,0,No issues detected
10,100,0,6.67,8,1.07,1.46,0,0,0.227026949,0,No issues detected
11,100,0,10,10,0.75,1,0,0,0.227591751,0,No issues detected
12,100,0,2.97,10.13,1,1,0,0,0.233478884,0,No issues detected
13,100,0,6.8,8,1.09,2,0,0,0.224020863,0,No issues detected
14,100,0,10,10,0.83,1,0,0,0.227591751,0,No issues detected
15,100,0,4.29,32.66,1,1,0,0,0.231891848,0,No issues detected
16,100,0,3.4,26.46,1,1,0,0,0.231504008,0,No issues detected
17,100,0,42.86,25,0.88,1,0,0,0.165125379,0,No issues detected
18,100,0,40,1,-2,1,0,0,0.131005299,0,No issues detected
19,99.9,26,6.56,15.44,1.16,-0.39,0,0,0.157545375,0,No issues detected
20,100,5,5.57,39.63,0.96,1,0,0,0.224939463,0,No issues detected
21,100,5,5.51,36.64,1.08,0.92,0,0,0.22608502,0,No issues detected
22,100,0,2.75,6.71,1,1,0,0,0.234386691,0,No issues detected
23,100,0,1.13,10.67,1.14,1,0,0,0.23350431,0,No issues detected
24,100,0,10,10,1,1,0,0,0.228795373,0,No issues detected
25,91.67,35,10.43,11.67,1.83,0.38,0,0,0.100424148,0,No issues detected
26,100,0,37.5,25,0.89,1,0,0,0.17321452,0,No issues detected
27,100,0,33.33,25,1.07,1,0,0,0.185321773,0,No issues detected
28,100,0,2,10,1,1,0,0,0.234370124,0,No issues detected
29,100,0,2,16,1,1,0,0,0.235352308,0,No issues detected
30,100,0,2.11,7,0.92,1,0,0,0.233799442,0,No issues detected
31,100,0,0.01,0.1,0.99,1,0,0,0.234611044,0,No issues detected
32,100,0,39.94,59.45,0.61,0.69,0,0,0.160410705,0,No issues detected
33,100,0,1,0.17,1,1,0,0,0.235544643,0,No issues detected
34,100,0,1.13,10.67,1.14,1,0,0,0.23350431,0,No issues detected
35,100,0,2,16,1,1,0,0,0.235352308,0,No issues detected
36,100,9,0.56,10,1,1.5,0,0,0.213060885,0,No issues detected
37,100,98.21,230.95,2.5,2.57,1,0,0,-0.15896257,1,No issues detected
38,82.09,56,0.5,2.13,-2.3,-0.98,55,0,-0.086046111,1,No issues detected
39,100,0,0,0.1,1.03,1,0,0,0.233772734,0,No issues detected
40,100,0,0.01,0.1,1,1,0,0,0.234611044,0,No issues detected
41,100,0,5.13,45,0.8,0.5,0,0,0.219260568,0,No issues detected
42,100,0,2.96,16.67,1.08,1,0,0,0.233835077,0,No issues detected
43,100,0,0.01,0.1,0.99,1,0,0,0.234611044,0,No issues detected
44,100,0,0.01,1,0.88,1,0,0,0.234325878,0,No issues detected
45,100,0,2.28,17.5,1.08,1,0,0,0.233572416,0,No issues detected
46,100,0,2.65,14.14,1.07,1,0,0,0.234716613,0,No issues detected
47,100,0,1,1,1,1,0,0,0.235544643,0,No issues detected
48,100,4,5.18,41.93,1.15,1,0,0,0.224884158,0,No issues detected
49,100,1,6.21,41.79,1.17,1.27,0,0,0.226180329,0,No issues detected
50,100,0,6.02,44.5,1.12,0.88,0,0,0.22491806,0,No issues detected
51,100,0,2.68,1,1,1,0,0,0.234372314,0,No issues detected
52,100,0,4.17,1.29,1.5,2.33,0,0,0.21148774,0,No issues detected
53,100,0,0.23,24.67,1.05,30,0,0,0.025919773,0,No issues detected
54,100,0,7.36,7.36,1,1,5,0,0.225101796,0,No issues detected
55,100,0,0.01,0.1,0.98,1,0,0,0.235310321,0,No issues detected
56,100,0,0.01,0.1,1.01,1,0,0,0.233772734,0,No issues detected
57,100,0,1,1,1,1,0,0,0.235544643,0,No issues detected
58,99.12,98.01,78.07,13,1,1,0,0,0.00623659,0,No issues detected
59,100,0,6.99,8,1.05,0.52,0,0,0.223898662,0,No issues detected
60,100,0,6.7,8,0.98,1.06,0,0,0.231681247,0,No issues detected
61,100,0,75,25,1,1,0,0,0.127830578,0,No issues detected
62,100,0,25,25,1.09,1,0,0,0.205209809,0,No issues detected
63,100,0,32.5,25,1.05,1,0,0,0.185321773,0,No issues detected
64,100,0,10,10,0.86,1,0,0,0.227842512,0,No issues detected
65,90.91,50,10.73,17.5,1.97,1,0,0,0.081800742,0,No issues detected
